Full Date|Notes about today
2024-03-23|Gardening, long call with b, trip to mediamark, then two movies and boring evenings 
2024-03-24|Brunch at Clément, visiting big dad, run under the rain, a bit of web dev then rael documentary 
2024-03-25|Bit of stressful day at work, long workout, call with max friend for data science jobs 
2024-03-26|Bootsy birthday, lot of time on the phone with her, boring work as usual, call with cream consulting, powerful run, then cleaning up the lifelog dashboard and code for future interview while matching red devils against england
2024-03-27|Another shitty day at work, good convo with Frank, packing for the weekend , workout and the office 
2024-03-28|Good day at the office, first swoove meeting, talk with Alain, then team building in quiz room and wolf dinner. Good money news from abu dhabi too
2024-03-29|Working from dad's home after bad night sleep, retrieval of the keys, then Antoine weekend birthday party starting 
2024-03-30|Great day with the friend group at la besace, 
2024-03-31|Long drive back from birthday weekend, start of the move to Brussels and delicious dinner and cake before more prep for moving
2024-04-01|Moving to val d'or, long day, resto for lunch, big closet drama, then chill at new home and sorting everything 
2024-04-02|First day homeworking from the apartment, wifi setup, big groceries, cooking chili and night run
2024-04-03|First bike trip to the office, productive day and fixing the model issue with acerta, followed by bike back home, more work, workout run and more work before sleep
2024-04-04|Shitty shitty work day, then cream interview, walk to auderghem and dinner in la Hulpe for maman's birthday
2024-04-05|Work on bug acerta from home, trip to ikea with the fam and building the new furniture 
2024-04-06|Good brunch at noordzee with Carpe, long call with boots, stressful front door incident then cooking curry all evening 
2024-04-07|Long day with long bus to get stuff from yi-ann's, then books from home, hip injury then bad anderlecht game. Overtime work to fix fucking acerta 
2024-04-08|More work on Acerta, meeting with Mylène, ride through wsl to find cable for new monitor, quiche cooked, more work then pleasant night run and cleaning up
2024-04-09|Ride to the office, working on Acerta and swoove. Koh lanta when back, workout, then CL game with Eric and his friends in flagey
2024-04-10|Good day at the office, then finally full night at home to chill, koh lanta and workout before reading
2024-04-11|Chill day at work, doing swoove stuff, then long run in the forest and watching the whale at home
2024-04-12|Chill but boring day at work, mitraillette at home then drinks with friends at rathon and in bar schaerbeek
2024-04-13|Groceries in the morning, long call with boots, not a lot of energy in the afternoon but went to troc.com to check out furniture's, then cooking hachis, horror movie, cleaning up the place and workout
2024-04-14|Road trip to Rotterdam for Carpe marathon, then big win from the mauves and night run to celebrate
2024-04-15|Boring day at work, cooking liquid quiche, movie then la tribune. Overall boring and not a lot of movement
2024-04-16|Shitty ride to the office under the rain, came back during lunch break, boring afternoon, walk in the rain, cooking and heavy reading to finish book, workout and psg game
2024-04-17|Day at the office, rtbf kickoff, walk to Manon, meeting with friends then walk back home while calling mum and man city game ending 
2024-04-18|Chill day at work until Wim called with stupid urgent assignment, then first run with team Jon 
2024-04-19|Good day at work working on Mylene and Thomas More, groceries then bad 80s slasher 
2024-04-20|Stress with juju missing in the morning, dpd assholes, long boring afternoon at home, visit big dad and Mathilde birthday in andenne (anderlecht loss)
2024-04-21|Back to Brussels around noon, spent whole day at home, cleaning, cooking, workout and long call with bootsy
2024-04-22|Chill work day from home, baby reindeer binge and trip to pèle mêle 
2024-04-23|Slow work day until Thomas more SQL issue, went to town hall for address change, call with interviewer for Lineas and cubitus quizz night
2024-04-24|Good day at work, finished Thomas More for now, then we'll prepared meeting with swoove, bike back, blue cheese pasta, koh lanta workout and anderlecht 
2024-04-25|Trip to wolupress to get the damned weights, chill work then nothing to do, took over cultuur connect project from Sam, solo run in cinquantenaire then usg game while writing down recipe ideas
2024-04-26|"Work ""in the zone"" on cultuur connect project, news that Geert is leaving, colruyt, mitraillette, nice horror flick and workout "
2024-04-27|Trip to decathlon, long call with boots, reading then visit to qiulian in lln and back to bxl with the train
2024-04-28|Went to see hockey game in the morning, then buying plants, disappointing sporting game, run and long and pleasant reading session
2024-04-29|Semi busy day at work, followed by nice drink and fries with Hugo and Bastien and long walk home
2024-04-30|Good chill day at the office, quick dinner at home, run and drink with friends at wahis tennis club
2024-05-01|Walk to station, train to la Hulpe, family dinner at home with hannib scared by dog, drive back home and stop at clem for the coffee table, then cooking, koh lanta and cl game while workout
2024-05-02|Boring day working from home, learning dpd fucked up again, bit of tension with b, then visit to lln family for ahong's concert
2024-05-03|Starting Unilever project, long call with boots, groceries, hosting papa at home then workout and YouTube 
2024-05-04|Fetching workout bench from pickup point, watching a lot about drake diss, call with bootsy then MC, cooking lasagna, ok horror movie then first weight training with new material 
2024-05-05|Long run in the morning, web dev, then Brussels derby at bastien's and beginning Ripley
2024-05-06|Good day of work on Unilever, small bike trip to argenta, cooking curry, la tribune workout and RIPLEY
2024-05-07|Good productive work at the office despite rainy ride in the morning, more Ripley when home and nice pleasant run
2024-05-08|Good productive day at the office, à bit stress fir meeting with Unilever, then rush back home for dinner and then game at bouboune's and drinks with the crew afterwards
2024-05-09|Hangover in the morning, VMA test in team Jon, koh lanta, last Ripley, long call with bootsy then guinguette for an ton's birthday 
2024-05-10|Chill day at work with nobody bothering me, big grocery run then quiche batch cooking, frustrated call with b, workout and night run
2024-05-11|Shopping in the morning near porte de Namur, reading session with bootsy, web dev, terrasse with Eric and tensed sporting game at home then short night walk
2024-05-12|Long and tough run in the morning, big lunch, Mr Ripley film with bootsy, laundry at dad then easy evening at home
2024-05-13|Boring day at work because not enough to do, then 14 peeks, cooking fajitas, big workout, bruges game and night walk
2024-05-14|Shitty Shitty day at work, Frank attacking me directly for bullshit reason, then unprodictive production of slides throughout the day. Team-building activity was cricket with Inuka, then good Indian food. Nice ride home and night run to decompress 
2024-05-15|Dull work at home, koh lanta and burger delivery, bit of web dev then night walk!
2024-05-17|2 important meetings with Unilever and rtbf, then big groceries, dinner with fam and reading until late
2024-05-18|Trip to Kam yuan for groceries, then cooking chili, workout, visiting big dad, apéro at hagelstein's and resto with Guillian 
2024-05-19|Long run in the morning, call with bootsy, then worst evening ever with bruges game and depressing drive home
2024-05-20|Trip to brico for plants stuff, reading and web dev in afternoon then horror movie night at bradeleine
2024-05-21|Not a good day, barely anything to do at work, spoke to no one, watching the office, then cooking 2 quiches and night run before movie 
2024-05-22|Got washing machine delivered, another boring day at work, watching koh lanta then going to wapa to watch friends 
2024-05-23|Another boring work day but finally something to do in the afternoon, then le wagon talk and long walk back home
2024-05-24|Another boring day at work, stupid data engineering project, then haircut, big groceries, batch cooking and bad movie
2024-05-25|Bike trip to delta for blood test, then return under rain and stop at brico. Homemade lunch at home with MC, long deep call with boots, big dinner and evening walk before long reading session and sleep
2024-05-26|20km of Brussels, then drinks with friends at bbp, and dinner at home for Thierry's birthday
2024-05-27|Usual boring day at work, bought and started Days Gone, then friterie run and horror movie with juju
2024-05-28|Another shitty boring day at work, followed by nice dinner with Alice in Namur and walk back home from schuman 
2024-05-29|Long day at the office, met new colleague during lunch, ppt rtbf, puis koh lanta, workout, bon run puis days gone 
2024-05-30|Absolutely nothing to do at work! So playing days gone all day long, then run and wapa with friends, before night snack and trump guilty watch!
2024-05-31|Shitty Shitty boring day at work, then drive to custinne with papa and casual TV watching in the evening 
2024-06-01|Nice walk in custinne in the morning, then chill afternoon doing web dev and looking at investments, long drive home, colruyt, bolo cooking, workout and finally ucl final while gaming with snack and beer
2024-06-02|Buying new plants in the morning, bring car back then forêt de soignes run, call with bootsy, FIRE readings, The Sadness horror movie shock and finally night walk and reading 
2024-06-03|Still barely anything to do at work, so watched Befire stuff instead, web dev, workout, reading, night walk and reading programs for election!
2024-06-04|À bit more things to do at work today, strange call from doctor, long call with bootsy, cooking hachis and night run 
2024-06-05|Long day at the office, then workout at home and watching the rd's game
2024-06-06|Another bad day at work, but surgery got delayed and parcel got delivered, then quick run and cool wapa with friends!
2024-06-07|Finally work with contract check project,  then colruyt groceries, sncb assessment, workout and cleaning
2024-06-08|Dad birthday in custinne, lot of time in the car then peaceful evening in lasne with hannib and diables game 
2024-06-09|Election day! Then bike to big dad and nice family dinner 
2024-06-10|Rainy day working from home, developing the infrastructure for AI contract check tool, then watching Texas chainsaw massacre while cooking curry, night prom and workout 
2024-06-11|Long day stuck on deployment bug, then lots of gaming, cinquantenaire run and reading 
2024-06-12|Finally deployed working contract check app in retool, sncb interview, then wash & scream and chip war ending 
2024-06-13|Average day at work, working on contract check tool, picking up the couch in Jette (stressful), then very cool evening at wapa and cup win!
2024-06-14|Building the couch, working on the app, then colruyt, run with gigi, gaming and euro opener
2024-06-15|Chill day at home, workout gaming and calls with bootsy, then bal folk with friends in Gentinnes
2024-06-16|Workout and run in the morning, water heater issue, lots of gaming and euro, evening walk and reading. Boring 
2024-06-17|Not much to do at work, prepping the case for sncb, Belgium defeat, night run 
2024-06-19|Fixing pdf upload bug at the office, then nice gaming, workout and night run before evening reading 
2024-06-20|Productive work on the retool app, interview with Teals, team Jon training then gaming and prepping stuff for monchenoule 
2024-06-21|Recruiting at le wagon, boiler drama, offer from sncb then party in monchenoule 
2024-06-22|Second day in monchenoule, walk in the woods then afternoon chill, beer spike ball and red devils game before jeux de société 
2024-06-23|Return from monchenoule, getting the car in ottignies, then sport at home and finishing days gone!
2024-06-24|Hugely stressful situation with water boiler screw up, doctor visit in cspo, then big groceries and drink with yifan 
2024-06-25|Moving the car around, working on the app, finding out about heating issue, then run in the woods and shower at prins boudewijn 
2024-06-26|Working on the app in the office, then diables game in crossing, cooking quiche and reading
2024-06-27|Not a lot to do for work, Bénédicte coming to check the damage, long walk to Satin Gilles for Julie's birthday drink and foodtruck, then long villo ride back home
2024-06-28|Last day of work before holiday, getting keys double back during lunch break, drive back to lasne, chill night with juju before short night to get da boots in paris 
2024-06-29|Long drive to Paris, finally reunited with boots, lunch in lln then bouboune's wedding and early return because so tired
2024-06-30|Visiting lln family then long chill evening at home with boots
2024-07-01|Groceries in center for banquet, chou sand, then cooking, France game and banquet with friends 
2024-07-02|Prepping suitcase, frit flagey and shop strolling, then back in lln, drive to Brussels again for pants then sleep!
2024-07-03|Long drive to Nuits Saint Georges, nice walk, good luxurious dinner then hotd with boots
2024-07-04|Drive from Nuits saint Georges to Lasalle, then run in the neighborhood, aperitif and nice dinner
2024-07-05|Nice walk in lasalle, then chill afternoon, pré wedding drink and dinner and France end game 
2024-07-06|Nice 10km run in the morning after brunch, hotd, then Pierre and Laura rainy but very nice wedding
2024-07-07|Long sleep, then post brunch wedding, back home for reading, elections results and night stroll with b
2024-07-08|Drive back from Monoblet to Lln! Bad news for apartment unavailable untill Thursday, but nice day with bella boots 
2024-07-09|Back to work from lln, lunch stroll and sandwich around the lake, then prepping dinner and groceries with boots instead of work, dinner at home with family and France kicked out 
2024-07-10|No work at all except for Bilal handover, stress with bootsy visa (again), trip to dentist, then amazing dinner and date with bootsy for last night in Belgium 
2024-07-11|Early rise, bootsy separation in gare du midi, back to apartment then little work as usual, weird pizza lunch at papa, forêt de soignes run then guinguette with Antoine océ and friends 
2024-07-12|Horrible stressful day at work trying to deal with resignation without wim being reachable, along with limited access to apartment because of bathtub replacement, then groceries, cooking curry and cleaning + night stroll
2024-07-13|Bumpy ride to lux station, then kayak and party for Emma's birthday!
2024-07-14|Call with bootsy, long run in bois de la cambre, visiting big dad then dinner with mamy and euro final at bouboune's 
2024-07-15|Veeery stressful day with resignation confrontation with frank and wim, then chill night at home with horror movie
2024-07-16|Chill morning not doing a lot, call with acerta then some work for prod move, cooking quiche then run and read
2024-07-17|Working from office, but of stress with timesheets from resignation week, workout then horror 
2024-07-18|Nothing to do at work, hot run, then walk to resto in auderghem for family dinner. Started true detective s4 as well!
2024-07-19|Hot day working from home, acerta meeting, true detective and night run 
2024-07-20|Shopping in the morning, hotd with bootsy, protein shake, then dinner with maman and juju before return to lasne
2024-07-21|Visiting big dad in the morning, then walk with juju and Maman in the afternoon, return to bruxelles, sad big dad news and biden quit and horror movie to finish weird day
2024-07-22|Not a lot of work as usual, colruyt groceries, workout and run, news from maman and mamy, blackcoat's daughter and reading
2024-07-23|Another long boring day for work, only 3 weeks left until the end, then cooking hachis, cinquantenaire run and cycling to st Gilles to give zine back to Maëlle 
2024-07-24|Acerta meeting in leuven, nice lunch with colleagues, not a lot to do in the afternoon then company bike trip to bois de la cambre, workout when back home and chilling 
2024-07-25|Absolutely nothing to do at work, played Playstation throughout the day, papa coming over for lunch, then interval run in the parc and midsommar rewatch
2024-07-26|No work at home so workout, small meeting with Toyota, hotd with boots, walk to juju, drive home, writing speech for big dad then good dinner and jo disastrous opening ceremony 
2024-07-27|Big dad funeral in thé morning, visiting Clément's house, reading at home then back in brussels, boring rsca game then night walk
2024-07-28|Long sleep, trip to pèle mêle for books, call wirh boots, finishing china book, gonjiam horror movie, then workout and run with Julien in bois de la cambre
2024-07-29|Nice talk with Bilal, acerta call, hotd with bootsy and nice convo, workout then evening walk, and beginning of hereditary
2024-07-30|No work at all, so ironing, chilling, restart web dev, run in the heat, then weird Tusk movie and a bit of reading
2024-07-31|Call with boots during breakfast, rainy bike trip to office, boring morning then departure announcement to remaining people, starting handover to bilal, web dev, the invitation rewacht workout and night run 
2024-08-01|Some work on Toyota dashboard, acerta handover to bilal, some web dev, ps4 then run after work and finally drink with carpe in Gh
2024-08-02|Little hangover in the morning, then some work for a change, colruyt, mitraillette at home then workout and reading
2024-08-03|Benoît controversy, call with bootsy, cooking quinoa, web dev, remco win then longlegs in theater
2024-08-04|Good strong interval run in the morning, then afternoon with Eric watching les mauves and summerslam, then cooking lasagna and night walk
2024-08-05|Finally a good day at work, with new analysis job for brussels airport, then walk to station, dinner at les messagers with maman and nice talk before sleep in lasne
2024-08-06|Cspo surgery, long day in hospital room reading and watching Olympics, good dinner at home then helping maman with bank account opening
2024-08-07|Good solid day of coding from Lasne, then train back to Bx, walk from station and late night cooking of quinoa
2024-08-08|Solid day of work on the brussels airport analysis, then cooking chili, night walk and reading
2024-08-09|Lonely day, working on the analysis, then long walk and watching Olympics + movie + standard 
2024-08-10|Bit of a lonely day, doing some chores and answering messages, trying to book Hong kong flight, call with bootsy, reading at étangs mellaerts, starting Beef show, watching disappointing sporting game and late night reading
2024-08-11|Working in the morning, then walk and train to douaire afternoon in Lasne and family BBQ before return to bx
2024-08-12|Lots of handover to bilal, groceries after work, watching beef and evening walk
2024-08-13|Helping bilal out with pbi, scary interaction with frank about acerta scope, watching beef and going pro then drink with max and Brice and walk back home
2024-08-14|Last day at the office!! Plenty of meetings, exit interview with frank, then goodbye drink, finishing beef, night run 
2024-08-15|Buying and starting kingdom come deliverance, long nice call with bootsy, return of freeletics workout, cooking quinoa then guinguette with friends
2024-08-16|Last day at adddata 🎉🎉 prepared video for brussels airport analysis, bike to office, recording, then annoying pc reboot, decathlon, burger delivery, kingdom come and mudguard set tup
2024-08-18|BBQ in custinne for lunch, then small walk, drive back home, workout, smile horror movie 
2024-08-19|First day at sncb! Boring training day though, then groceries, cooking, workout, cleaning, setting up mudguard then finally some gaming 
2024-08-20|First day at the office, meeting first colleagues, then cooking pasta, video game and night run in the rain
2024-08-21|Long day at the office, not doing a lot, weird lunch, then little stress with school analysis, drink with kotechine, then bike back home, workout and sleep
2024-08-22|Long day at the office, work still not really coming up, then ride back home, team Jon, before cleaning up while watching anderlecht 
2024-08-23|First day homeworking, long call with bootsy, ride to evg with Romain, then big party and puke in the night
2024-08-24|Evg bouboune, big lunch the draisines and beers in maredsous, playing in the pool then wine tasting, very nice BBQ then drinking and going through old pics 
2024-08-25|Cleaning up evg house, big lunch at resto, then stress with timing, afternoon in custinne and card game, then drive back to brussels with musical quizz and power night run
2024-08-26|Good night sleep, ride to office, not a lot to do at work, then buying flowers, train to lln, very nice time with the hagelsteins, train back then walk home from Schuman 
2024-08-27|First drive to office with own bike, then long day with not much to do and boring Loop replication, nice lunch with Vic and Caroline, planning meetings, then checking shirts shop, kingdom come, run and reading before bed 
2024-08-28|Still no access, so not a lot of work to do, long call with bootsy, haircut, groceries, kingdom come koh lanta and workout!
2024-08-29|Finally got the access, met some people from Marketing, got started on bronze to silver, team Jon after work, boring sporting game then packing for the weekend 
2024-08-30|Chill day working from home, then long walk to station, train to knokke with Anton, nice evening with friends with nice quizz and drinks
2024-08-31|Weekend in knokke, run without food, back with cuistax, big brunch, cuistax race, slingshot, waffle at the beach, then beach games, BBQ, and drink with friends 
2024-09-01|Last breakfast in knokke, then hurry to station, long train ride, afternoon in Lasne and juju's birthday, then night long run 
2024-09-02|Long day reading code from element 61, then cooking curry, koh lanta, workout, prom prom, and a lot of reading 
2024-09-03|Lots of meets and greet at work, forced to sit alone, lunch alone, annoying cdk, then ride in the pouring rain, playing kcd, watching the thing and night run
2024-09-04|Getting started on campaign dashboard, nice lunch with colleagues, code crunch in afternoon, good curry, koh lanta, workout and kcd
2024-09-05|Good day at work spent in notebook for campaign dashboard, then ditching team Jon, kcd, night run before thunder 
2024-09-06|Good day working from home, long call with Geoffrey about products, then getting feedback from William on dashboard. Trip to decathlon then dumplings and call with bootsy, kcd workout and admin stuff 
2024-09-07|Shopping in the morning, then walk back home, long call with bootsy, meeting Rosalie, call with boots again, watching terrifier, kcd and beginning new book
2024-09-08|Lonely day overall, run in the morning, kcd, web dev and admin, watching unsettling horror, night walk, ironing then reading 
2024-09-09|Ride under the rain to work, alone at the office, working on mockup campaign dashboard, ride back home just before the rain, colruyt, carbo, kcd workout and France Belgique 
2024-09-10|Busy day at the office, lots of meetings, then cooking quinoa, watching house of the dragon, night run and investing videos
2024-09-11|Good day working from home, election procuration, followed by cooking and koh lanta, then workout and Odin project in evening before a bit of reading 
2024-09-12|Good day at the office, nice presentation from Lander to sopra, then cool team Jon run, fixing boiler issue and nice call with maman before reading a bit before bed 
2024-09-13|Solid day spent coding, then trip for nothing to central station, playing kcd, last workout of freeletics journey, watching standard a bit and reading
2024-09-14|Bouboune amazing wedding!
2024-09-15|Hangover from wedding, then brunch with friends, back to Lasne and nap, then dinner with the fam and TMTC board game fun
2024-09-16|Still not fully recovered from wedding, chill coding from home, long call with boots, kcd, colruyt, quinoa then workout and jeepers creepers 
2024-09-17|Good day at the office, then run, cooking, bad sporting game and inoxtag docu 
2024-09-18|Solid day spent coding and building Valmi view, then gare central for subscription on mobib, Kam yuan, cooking curry and koh lanta, kcd, workout and bruges beatdown 
2024-09-19|Good day at the office, dashboard taking form, lots of small talk with colleagues, then bip test with team Jon and team dinner afterwards 
2024-09-20|Bank appointment in the morning, ok work at home making the PayPal analysis, cooking pasta, lots of kcd then workout, watching standard, laundry and reading
2024-09-21|Chill morning after good sleep, the' train to lln to visit MC, then train back for gigi's wedding/departure party, then long walk back home
2024-09-22|Nice day on the move, long run in the morning in car free brussels, then ride to la hulpe to deliver vaccine, mitraillette take away and horror + reading
2024-09-23|Not a very good day, sad convo with boots in the morning, not productive work, then stressful train to lln for consult, mixed news, train back then kcd workout and reading
2024-09-24|Good day at work, praises from Lander, nice chats with Tracy, ride back in the rain, then nice run, reading and dinner with papa in restaurant next door 
2024-09-25|Victoire is born this morning! So happy, learned during rainy bike ride to office, then good day at the office, nice talks with colleagues, productive day at work, then koh lanta, workout, video call with the new parents and anderlecht return to Europe against ferencvaros 
2024-09-26|Good work day, then giving up team Jon because big rain, kcd, night power run in cinquantenaire, then chill reading 
2024-09-27|Showing dashboard to marketeers, then working on half time analysis, meeting little Victoire for the first time, getting corn flakes from carrefour, gaming and workout 
2024-09-28|Cleaning up the house, long difficult call with boots, then nice evening at anton's with friends and blind test 
2024-09-29|Long run in the morning, watching horror then long tough call with b., evening walk and starting new book 
2024-09-30|Good day working from home, then walk to station to go to lln, reading great horror book, dinner with the hagelsteins and return home
2024-10-01|Good day at work, papa job news, getting boxing gloves from Brice, cooking curry, reading horror, strong night run and more reading 
2024-10-02|Stressful day working a lot to finish half time analysis on time, long meeting with Daan to give feedback, buying jewelry for boots on way back from work, then big big overtime while watching koh lanta, and small night walk to try to avoid night delirium 
2024-10-03|Lots of overtime and stress at work again, finished the half time analysis, then nice anderlecht win away in Spain, good run, then more annoying code bug until late at night 
2024-10-04|Last day of work, finishing everything up in time, starting documentation and sending last emails, then buying chocolates for Taiwan, some kcd, workout and mid horror 
2024-10-05|Strong run in the morning, the' chill afternoon at home, walk to lucas' then big jo party at ethan's!
2024-10-06|Hangover when waking up, quickly dissolved, then delinquant incident at la hulpe station, classico win at clem's and first visit of victoire at home, packing bags and getting the last stuff from the hagelsteins 
2024-10-07|Leaving for Taipei! Early rise to get subway, then train, then airport controls in Paris then looong flight to the other side of the world 
